                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2744,                0.73156,                 1.6637,                0.85984,                0.85185,                0.92011,                0.63517,                 1.1156,                0.77382,                 1.6346,              0.0006536,              0.0006536,              0.0006536
                     36,                   1.31,                0.71602,                 1.7052,                0.83854,                0.91667,                0.90521,                0.59064,                 1.1811,                0.78409,                  1.719,               0.000614,               0.000614,               0.000614
                     37,                 1.2535,                0.69847,                 1.6432,                0.86028,                0.87346,                0.92342,                0.63969,                 1.0864,                0.75275,                 1.6103,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2719,                0.69858,                 1.6702,                0.86244,                0.89815,                0.93333,                0.60964,                 1.1704,                 0.7819,                 1.6853,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2412,                0.68627,                 1.6513,                 0.8578,                0.90432,                0.93277,                0.64186,                 1.0912,                0.73357,                 1.6107,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2371,                   0.68,                 1.6515,                0.86055,                0.92284,                0.93814,                0.64901,                 1.0961,                0.70771,                 1.6114,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2092,                0.63562,                 1.6119,                0.86954,                0.90512,                0.91984,                0.62767,                 1.1114,                0.71068,                 1.6369,               0.000416,               0.000416,               0.000416
                     42,                 1.1969,                0.60636,                 1.5983,                0.85843,                0.87037,                0.91272,                0.62799,                 1.1146,                0.74744,                 1.6215,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1849,                 0.5795,                 1.5868,                0.86532,                0.91223,                0.92099,                0.63062,                  1.101,                0.71369,                 1.6259,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1626,                 0.5754,                  1.559,                0.85946,                0.91667,                0.93134,                0.65387,                 1.0752,                0.71286,                 1.5999,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1606,                0.57158,                 1.5745,                0.82945,                0.95062,                0.91507,                0.64341,                 1.0623,                0.71481,                 1.5766,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1485,                0.56375,                 1.5516,                0.86826,                0.91534,                0.91131,                0.63678,                 1.0788,                0.67983,                 1.5961,               0.000218,               0.000218,               0.000218
                     47,                 1.1293,                0.54901,                 1.5402,                0.86722,                0.92901,                0.92938,                0.65301,                 1.0591,                0.66271,                 1.5793,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1183,                0.53892,                  1.527,                0.86152,                0.92165,                0.92085,                0.65293,                 1.0409,                0.67234,                 1.5681,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1217,                 0.5314,                 1.5331,                0.85083,                  0.933,                0.91505,                0.65313,                  1.039,                0.66659,                 1.5743,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0934,                0.52604,                 1.5188,                0.84133,                0.94444,                0.91943,                 0.6555,                 1.0316,                0.65123,                  1.556,               5.96e-05,               5.96e-05,               5.96e-05
